,norte,este,Recvd Wt.,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Ni,P,S,Sc,Sr,V,Zn,Centroide
37,4626901.0,549054.0,2.6,1.7,0.12,3.0,57.0,99.0,6.0,0.11,0.68,269.0,4.0,200.0,0.02,22.0,12.0,255.0,92.0,0
38,4626896.0,549004.0,3.1,3.89,0.51,38.0,40.0,688.0,7.2,0.01,3.36,4170.0,12.0,260.0,0.01,26.0,26.0,234.0,1235.0,1
39,4626963.0,548960.0,5.0,5.23,0.07,45.0,78.0,2120.0,12.3,0.05,3.29,3740.0,29.0,170.0,0.03,21.0,10.0,201.0,245.0,1
40,4626803.0,549047.0,2.74,2.2,0.09,2.0,4.0,63.0,5.35,0.2,1.08,436.0,1.0,510.0,0.27,14.0,57.0,141.0,55.0,2
41,4626799.0,549103.0,2.9,2.99,0.1,2.0,3.0,115.0,6.88,0.17,1.59,456.0,1.0,560.0,0.2,13.0,22.0,146.0,69.0,2
42,4626695.0,548649.0,4.0,3.7,0.86,27.0,5.0,246.0,7.08,0.02,2.83,3850.0,5.0,450.0,0.01,24.0,46.0,232.0,830.0,1
43,4626735.0,548506.0,2.72,2.38,0.29,12.0,7.0,99.0,5.25,0.16,1.36,1450.0,4.0,240.0,0.07,12.0,23.0,120.0,93.0,2
44,4626709.0,548504.0,3.44,2.27,0.34,3.0,2.0,385.0,4.61,0.11,1.15,726.0,4.0,500.0,0.06,12.0,15.0,80.0,94.0,2
45,4626701.0,548547.0,4.08,4.67,0.87,37.0,95.0,133.0,6.18,0.01,5.28,3190.0,51.0,210.0,0.01,27.0,38.0,231.0,407.0,1
46,4626861.0,548363.0,5.4,0.5,0.18,6.0,1.0,104.0,3.93,0.18,2.12,1115.0,1.0,500.0,0.88,3.0,6.0,8.0,230.0,2
47,4626802.0,548370.0,5.36,0.56,0.03,5.0,2.0,611.0,3.34,0.23,0.09,320.0,1.0,450.0,0.14,2.0,5.0,7.0,161.0,2
48,4626699.0,548353.0,2.72,0.48,0.08,5.0,1.0,579.0,5.32,0.15,0.02,83.0,1.0,520.0,0.05,2.0,5.0,7.0,212.0,2
49,4626707.0,548394.0,3.42,1.47,0.02,9.0,8.0,31.0,3.35,0.12,1.43,549.0,3.0,260.0,1.38,7.0,6.0,100.0,66.0,2
50,4626713.0,548451.0,3.82,2.59,0.28,10.0,47.0,253.0,7.13,0.15,1.44,1060.0,10.0,210.0,0.04,19.0,44.0,230.0,152.0,0
51,4626656.0,548361.0,2.82,0.4,0.03,2.0,1.0,408.0,3.41,0.16,0.02,55.0,1.0,310.0,0.02,2.0,3.0,11.0,70.0,2
52,4626649.0,548403.0,4.58,0.55,0.03,1.0,2.0,379.0,4.45,0.21,0.03,22.0,1.0,420.0,0.09,3.0,10.0,18.0,20.0,2
53,4626658.0,548455.0,3.82,4.16,0.06,7.0,152.0,111.0,6.25,0.04,4.57,294.0,39.0,160.0,0.05,29.0,5.0,270.0,52.0,1
54,4626656.0,548504.0,3.66,3.86,0.06,11.0,105.0,264.0,9.05,0.12,3.12,1310.0,23.0,180.0,0.76,24.0,11.0,257.0,125.0,1
55,4626694.0,548603.0,3.1,4.89,3.21,34.0,80.0,91.0,6.28,0.02,4.91,5980.0,41.0,250.0,0.01,27.0,51.0,250.0,2490.0,1
56,4626641.0,548562.0,2.62,3.68,0.67,21.0,11.0,253.0,6.65,0.04,2.47,1870.0,8.0,510.0,0.01,19.0,26.0,191.0,134.0,0
57,4626641.0,548607.0,3.36,3.92,0.49,19.0,10.0,100.0,7.11,0.09,2.67,1940.0,9.0,460.0,0.01,16.0,28.0,187.0,172.0,0
58,4626658.0,548668.0,4.04,4.1,2.4,34.0,55.0,185.0,5.64,0.02,4.09,4360.0,22.0,200.0,0.01,26.0,38.0,249.0,887.0,1
59,4626641.0,548711.0,2.44,3.92,1.94,24.0,54.0,724.0,6.96,0.04,2.83,3270.0,11.0,200.0,0.01,23.0,27.0,221.0,245.0,1
60,4626659.0,548752.0,4.16,3.55,0.36,29.0,58.0,981.0,7.32,0.06,2.88,2600.0,14.0,170.0,0.02,25.0,17.0,220.0,205.0,1
61,4626706.0,548740.0,3.58,5.21,0.67,31.0,61.0,317.0,10.25,0.06,3.98,3420.0,13.0,220.0,0.01,23.0,6.0,243.0,300.0,1
62,4626715.0,548252.0,4.08,0.32,0.12,1.0,2.0,524.0,3.16,0.36,0.03,26.0,1.0,50.0,0.54,1.0,34.0,8.0,3.0,2
63,4626653.0,548248.0,3.06,0.76,4.36,20.0,5.0,234.0,7.94,0.08,1.19,2740.0,3.0,500.0,0.14,19.0,26.0,160.0,233.0,0
64,4626754.0,548314.0,4.14,0.53,2.06,6.0,1.0,9840.0,3.78,0.22,0.68,679.0,1.0,430.0,0.02,3.0,30.0,30.0,256.0,2
65,4626748.0,548366.0,3.46,0.45,0.03,4.0,1.0,913.0,2.78,0.23,0.12,211.0,1.0,510.0,0.34,2.0,5.0,5.0,64.0,2
66,4626753.0,548393.0,4.54,1.84,0.5,24.0,3.0,1515.0,8.62,0.04,2.17,2350.0,2.0,590.0,1.77,15.0,25.0,102.0,213.0,0
67,4626696.0,548320.0,2.62,0.33,0.05,1.0,5.0,673.0,5.27,0.12,0.02,63.0,1.0,570.0,0.06,2.0,10.0,11.0,96.0,2
68,4627073.0,548900.0,3.82,3.46,0.6,36.0,79.0,10000.0,7.97,0.1,3.22,1480.0,32.0,120.0,0.04,30.0,15.0,224.0,200.0,1
69,4626665.0,548306.0,4.26,0.42,0.04,4.0,1.0,155.0,4.69,0.19,0.03,97.0,1.0,530.0,0.17,2.0,14.0,7.0,73.0,2
70,4626755.0,549008.0,3.18,1.28,0.24,9.0,2.0,8.0,4.69,0.13,1.15,412.0,2.0,520.0,3.45,9.0,3.0,80.0,47.0,2
