,norte,este,Recvd Wt.,Au,Ag,Al,As,B,Ba,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sc,Sr,Ti,V,Zn
23,4627005.0,549160.0,3.02,8.0,0.2,4.13,7.0,10.0,110.0,3.0,0.17,0.5,24.0,30.0,393.0,8.61,10.0,0.09,2.62,2630.0,1.0,0.05,15.0,220.0,2.0,0.04,14.0,25.0,0.01,199.0,233.0
24,4627016.0,549188.0,5.76,45.0,6.9,1.72,11.0,10.0,50.0,3.0,0.04,0.5,2.0,37.0,2030.0,14.1,10.0,0.11,0.32,191.0,4.0,0.04,2.0,190.0,4.0,0.08,7.0,5.0,0.01,159.0,27.0
25,4626954.0,549011.0,4.06,5.0,0.3,4.41,4.0,10.0,220.0,2.0,0.59,2.8,37.0,53.0,814.0,8.07,10.0,0.04,4.21,4910.0,1.0,0.04,26.0,230.0,44.0,0.3,26.0,42.0,0.08,265.0,1915.0
26,4626957.0,549051.0,2.5,5.0,0.2,4.83,2.0,10.0,40.0,3.0,0.31,0.5,30.0,38.0,1115.0,9.57,10.0,0.02,3.75,4620.0,1.0,0.05,20.0,160.0,4.0,0.01,29.0,23.0,0.07,310.0,338.0
27,4626946.0,549119.0,2.6,6.0,0.3,4.08,5.0,10.0,170.0,4.0,0.33,0.5,33.0,35.0,542.0,7.44,10.0,0.04,3.44,3250.0,1.0,0.08,22.0,160.0,2.0,0.01,28.0,17.0,0.13,262.0,290.0
28,4626950.0,549201.0,4.24,21.0,1.6,0.91,7.0,10.0,40.0,3.0,0.03,0.5,10.0,13.0,1045.0,7.08,10.0,0.1,0.5,343.0,8.0,0.03,3.0,40.0,5.0,2.66,2.0,3.0,0.01,71.0,56.0
29,4626903.0,549111.0,1.9,5.0,0.2,2.51,12.0,10.0,20.0,2.0,0.11,0.5,5.0,45.0,171.0,7.5,10.0,0.2,1.99,1140.0,2.0,0.06,6.0,240.0,14.0,0.58,20.0,14.0,0.13,261.0,154.0
30,4626906.0,549154.0,2.76,10.0,0.2,3.36,10.0,10.0,510.0,2.0,0.12,0.5,22.0,82.0,396.0,6.2,10.0,0.15,2.46,1875.0,1.0,0.06,17.0,200.0,2.0,0.07,20.0,23.0,0.01,175.0,216.0
31,4626837.0,549148.0,2.7,10.0,0.5,1.38,5.0,10.0,20.0,2.0,0.07,0.5,2.0,11.0,201.0,5.55,10.0,0.13,0.7,349.0,3.0,0.08,1.0,520.0,2.0,0.28,9.0,26.0,0.01,156.0,73.0
32,4626892.0,548508.0,3.24,16.0,0.5,0.84,20.0,10.0,140.0,2.0,1.93,0.5,30.0,20.0,315.0,10.2,10.0,0.13,0.89,3150.0,1.0,0.04,11.0,100.0,8.0,0.34,11.0,14.0,0.01,143.0,208.0
33,4626750.0,548561.0,2.92,9.0,0.7,1.39,15.0,10.0,410.0,3.0,2.41,0.7,35.0,10.0,613.0,11.0,10.0,0.07,1.13,4240.0,1.0,0.06,9.0,460.0,41.0,0.03,22.0,26.0,0.01,247.0,356.0
