,,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn,
NORTE,ESTE,kg,ppb,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,
4627016,549188,5.76,45,6.9,1.72,11,<10,50,<0.5,3,0.04,<0.5,2,37,2030,14.1,10,1,0.11,<10,0.32,191,4,0.04,2,190,4,0.08,<2,7,5,<20,0.01,<10,<10,159,<10,27,
4626954,549011,04.06,5,0.3,4.41,4,<10,220,<0.5,<2,0.59,2.8,37,53,814,08.07,10,1,0.04,<10,4.21,4910,1,0.04,26,230,44,0.3,2,26,42,<20,0.08,<10,<10,265,<10,1915,
4626957,549051,2.5,5,0.2,4.83,<2,<10,40,<0.5,3,0.31,<0.5,30,38,1115,9.57,10,2,0.02,<10,3.75,4620,<1,0.05,20,160,4,0.01,<2,29,23,<20,0.07,<10,<10,310,<10,338,
4626946,549119,2.6,6,0.3,04.08,5,<10,170,<0.5,4,0.33,<0.5,33,35,542,7.44,10,<1,0.04,<10,3.44,3250,1,0.08,22,160,2,0.01,3,28,17,<20,0.13,<10,<10,262,<10,290,
4626950,549201,4.24,21,1.6,0.91,7,<10,40,<0.5,3,0.03,<0.5,10,13,1045,07.08,<10,1,0.1,<10,0.5,343,8,0.03,3,40,5,2.66,<2,2,3,<20,<0.01,<10,<10,71,<10,56,
4626903,549111,1.9,5,0.2,2.51,12,<10,20,<0.5,2,0.11,<0.5,5,45,171,7.5,10,<1,0.2,<10,1.99,1140,2,0.06,6,240,14,0.58,<2,20,14,<20,0.13,<10,<10,261,<10,154,
4626906,549154,2.76,10,<0.2,3.36,10,<10,510,<0.5,<2,0.12,<0.5,22,82,396,6.2,10,<1,0.15,<10,2.46,1875,1,0.06,17,200,2,0.07,2,20,23,<20,<0.01,<10,<10,175,<10,216,
4626837,549148,2.7,10,0.5,1.38,5,<10,20,<0.5,2,0.07,<0.5,2,11,201,5.55,10,<1,0.13,<10,0.7,349,3,0.08,1,520,2,0.28,<2,9,26,<20,0.01,<10,<10,156,<10,73,
4626892,548508,3.24,16,0.5,0.84,20,10,140,<0.5,<2,1.93,<0.5,30,20,315,10.2,<10,1,0.13,<10,0.89,3150,1,0.04,11,100,8,0.34,<2,11,14,<20,<0.01,<10,<10,143,<10,208,
4626750,548561,2.92,9,0.7,1.39,15,10,410,<0.5,3,2.41,0.7,35,10,613,11,<10,<1,0.07,<10,1.13,4240,1,0.06,9,460,41,0.03,<2,22,26,<20,<0.01,<10,<10,247,<10,356,
